,id,groupId,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,Oz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,TP9,TP10,POz,ECG,F1,F2,C1,C2,P1,P2,AF3,AF4,FC3,FC4,CP3,CP4,PO3,PO4,F5,F6,C5,C6,P5,P6,AF7,AF8,FT7,FT8,TP7,TP8,PO7,PO8,FT9,FT10,FPz,CPz,average
0,ccs_after_ydd_20180730_close,1,0.010236606728032316,0.012701571504878887,0.007183820799745092,0.007690715371839187,0.005727195846540739,0.005120520797687512,0.0031308959628539696,0.0033543330682762086,0.0086804009231813,0.020024637797981724,0.004440249130875255,0.004994046266932334,0.003153047551498177,0.009083804390698386,0.0018629421332125792,0.0021794272024495674,0.010851087523763818,0.007187302971352232,0.004364557296314577,0.0758861987468369,0.011429537677062038,0.009656497607764006,0.008832791164358186,0.005380576434768547,0.005689866114078224,0.004326074504400735,0.0031762752977895345,0.002699322443731468,0.0032439177795962745,0.0030060974391934005,0.006674789449140829,0.004356222620350534,0.01048733437103046,0.00792431196491431,0.007187898630502621,0.006269696678610255,0.0034909890100053606,0.004432457208726931,0.015813957126894252,0.009157832282567616,0.006300840433533158,0.005980919922811118,0.0038705582798954047,0.004325795704838927,0.003725339305842646,0.004605538992443916,0.008139624939533952,0.005591078899324929,0.004041259216457922,0.0037014400301360936,0.002392156334484452,0.002637851009114241,0.005004086572121712,0.006581083148867133,0.0041220483619741725,0.0032727887067720294,0.0019659374379108674,0.0026973980973713594,0.002994212969977327,0.004091845479384825,0.009312360253348034,0.004389669976220131,0.005991870135337239,0.007703178657110401,0.007102010791957006
1,ccs_after_wcd_20180527_close,1,0.05073056816029462,0.054314209633748084,0.04183703181030753,0.06304254294251506,0.027156101980835932,0.04264584070483751,0.01563384908572712,0.015736442548512575,0.013751175468946936,0.012165632392067393,0.06642916782551676,0.07592046323973455,0.04546975211828506,0.26010267072803034,0.015425205096708743,0.0436880981796111,0.025203644636681392,0.020639013517886964,0.01565359822610185,0.0011579573806755287,0.0020919988709638595,0.03917730362213861,0.018273891657470086,0.016954839130458685,0.049263992613356226,0.06716719726789074,0.01858703378944596,0.019459554723380148,0.031153417426306715,0.0565957545855644,0.022832625975823983,0.12827157589218502,0.0340019385752176,0.034585425834122885,0.024289217410043678,0.023721302083661844,0.015776147008595434,0.017425497633133464,0.04018141528919022,0.04153107763188032,0.05408849764027289,0.09304479533412675,0.019563558082551936,0.017508109674763385,0.013671865832977782,0.01222642481901601,0.06524299960701158,0.07664860350368978,0.028801572354032162,0.07623391580105011,0.01590721528226352,0.01383269569018719,0.05219084306162221,0.05104898220932778,0.03859598038999568,0.0835749278552416,0.020595337472097228,0.03887673400834754,0.01486687448410092,0.01277476256095499,0.05368176279040286,0.017753765794947786,0.01352334100799259,0.014160701849730896,0.03916341312194625
2,njh_yx_20180523_close,1,0.008784542141409911,0.05643903806368526,0.015944173665295238,0.041316153418897744,0.01379775793897751,0.00620485280241805,0.007957447222236439,0.004103206087193258,0.005732205137608532,0.006341424166235373,0.008369984622116773,0.031096639357203255,0.016585248295196482,0.007652147118928371,0.003920258222142309,0.002896799800062513,0.01705191329874738,0.008332289175528558,0.005113313762824434,0.0005989185880046865,0.00023929458378307977,0.018483591335326562,0.008164162338334736,0.007987246281805959,0.014493525814682443,0.010729386422500006,0.006403233300724311,0.007296357562601884,0.01111946565256695,0.029896961385114086,0.009393483943554212,0.033062949026606066,0.01598992958263741,0.04385616153363053,0.008346342392607243,0.009614679309345292,0.007938708471867083,0.0041271325028426975,0.048732505902927714,0.06482437369690378,0.014999706935466334,0.008738270635925777,0.008064294113001325,0.00761085863028624,0.005128602027468509,0.0041601420183667364,0.014641366622244455,0.033349227689139595,0.013683933139538484,0.006173636524872479,0.007783033643759606,0.004121231863145075,0.008362312036296463,0.013226180176781444,0.01816846012998098,0.025459219584977686,0.006170442904023277,0.003950770065733797,0.0037547686201539407,0.0038569206145214713,0.008706096769341235,0.008266977363022917,0.005117319598120579,0.0067537376247758215,0.013581020519625286
3,ccs_lch_close_20180507,1,0.01422160643289835,0.011919022935207966,0.016734347735156717,0.012133816579516305,0.011634796965308052,0.011306391215841125,0.008732424664394514,0.006704882356605587,0.00967000101934965,0.006473751379915161,0.016362233506197022,0.01541935703719769,0.010891016486848568,0.020518869519391563,0.007618072163435397,0.013328825010094072,0.01687138938056479,0.014566663268515669,0.009656985833602904,0.03261310740399316,0.03446573213851555,0.02008235289072492,0.011191991544009598,0.01046822739378426,0.01408074819563202,0.01458938107894503,0.009270352829381332,0.01012716770544408,0.015025607201853438,0.01284612914356658,0.012134691286889208,0.028058832332542007,0.01632522950933601,0.010750368339005528,0.012920637476757943,0.013500024325609072,0.009566615527891464,0.008635193397905786,0.012256426386673392,0.011941262244825421,0.01470483585363259,0.013352224689565474,0.010080491747440856,0.009454982170507028,0.008605421470348113,0.0069594085084585654,0.015428060526072979,0.019191414170658803,0.0115368761371951,0.014467234998861885,0.007965251214349283,0.0071515418556181,0.017336666359700555,0.023274580485804275,0.014516573800894616,0.01909455350834264,0.008450996366228312,0.011937010718558244,0.009751613756956011,0.007268382399755213,0.010852738718000096,0.010650559597915618,0.00851139502964688,0.010042302672971352,0.013221869509387647
4,ccs_before_lxz_20180829_close,1,0.018852058388126054,0.035864282281864654,0.02136048958074828,0.0350790462431724,0.02140138223764222,0.01593870937292409,0.007889188215185252,0.007757913432739487,0.00910782076873604,0.010743539086533915,0.02117583004938696,0.013938345015102528,0.03529094938103053,0.04790305450379299,0.010917852726804619,0.014067028751806305,0.016379710000462105,0.024619544182909906,0.007826283746048046,0.08869002977879993,0.029506867431443328,0.025270552468916675,0.006548962159545521,0.006644246606435794,0.05165438740796917,0.022984863093139466,0.012093737840968502,0.012859320452036518,0.028408526597642276,0.014360121203642983,0.015248278058492454,0.017446566619905627,0.01701435736796569,0.017343977351222943,0.008998561430217078,0.008740684844431223,0.00813735997207346,0.007547143041065278,0.019529356291179776,0.0598441305017987,0.03216392861416975,0.03063591940053984,0.008942815730558993,0.009104554061199652,0.007778297875185688,0.007449318573664808,0.032191563758384306,0.03087768896086412,0.02400858066848971,0.026135620842043857,0.008329864662613795,0.00935530408423775,0.017278867377020623,0.02164438499391719,0.027083360294844212,0.025869306635002486,0.01237123759665732,0.041684860217678914,0.00843056301367234,0.012281041870841954,0.01947644257317396,0.00584106981104399,0.0075190948444117875,0.012563724169190585,0.02021878857989557
5,ccs_after_xtt_20180816_close,1,0.015625832687516904,0.01258391423320596,0.021142863674162456,0.017676926111352496,0.012338311813029426,0.011311515266432506,0.008765449041857862,0.005968694872209587,0.016242005335131145,0.0238157337922917,0.013776226034586694,0.018674899941563117,0.03632674396169426,0.03798127448045793,0.009737852431775988,0.00861890296678718,0.016252953875249672,0.009290120858807536,0.007597928883810923,0.05829560127425563,0.023989754264726274,0.021095752798388406,0.010688390681621017,0.007504901022005262,0.01889335769821136,0.021178567109533235,0.011658636559359194,0.009958484016618321,0.01218854783284923,0.018571287781316833,0.008449206345961448,0.011758323067531157,0.015244111344830487,0.018481872897777765,0.011688566017713294,0.010837309899439972,0.007813031800712716,0.0062313330115566804,0.015620367388139069,0.017625728092376374,0.016851728378535682,0.01642814603233916,0.011956993414365768,0.009445411292228116,0.007733198900463267,0.009691388396921762,0.01845483690769253,0.01823428393813971,0.015927077539779805,0.01662905969835073,0.008576040827708145,0.007246919204356182,0.020339679520882413,0.013673931987713555,0.02375217519918631,0.028034979555857962,0.021777808005338024,0.010106901065922377,0.009493563621501007,0.021348409026281726,0.012874209643279151,0.00817864299182467,0.023007316198882258,0.018727535051488532,0.01578111746196697
6,njh_after_zxc_20180425_close,1,0.020708278141500044,0.02085473794233571,0.040256451252181386,0.0236564768541805,0.03954866505886168,0.03044956293278552,0.019423700252715063,0.0206776961775754,0.019172566071343648,0.026573748512391745,0.07405988515478888,0.024791481775700498,0.21576460776805653,0.04607544162322031,0.019820891243407846,0.022749446049848285,0.028296310683433315,0.025822018439811873,0.021867973891899067,0.003736012894461962,0.03953139591238243,0.034670882139156145,0.026281456558629013,0.024963165923368582,0.10730402816092634,0.043183040150917326,0.03703956892612882,0.022792826745092653,0.06376865714161603,0.008752170759043807,0.026607776848278638,0.0033567628528838192,0.028841172220478935,0.031816936770732815,0.030638732812962793,0.028565375594085233,0.02155000155287374,0.02078686531058283,0.022066361255550015,0.029743526030430133,0.05286269648717317,0.04113338938340324,0.028269107164501612,0.02487860730318555,0.017488934310478932,0.02340358538882499,0.07058836120310032,0.024256293801184985,0.07982672271005246,0.02592485323419641,0.019415942710261796,0.020275662263603406,0.029810981001602607,0.029684519843526453,0.12686289013579033,0.0576014586497409,0.02746869833069285,0.021983866170111305,0.017709071586267416,0.022636888384394763,0.01781259189673887,0.024674013551500968,0.020705539996455077,0.022981667376850826,0.03507535936359779
7,ccs_before_zyy_20180614_close,1,0.00424854343532546,0.003166828627209934,0.024069153570602807,0.04036564190037115,0.01408303284568968,0.016739560707103536,0.008757946339424892,0.008107826189788222,0.016675646614928444,0.03246814364538504,0.0069321262342522125,0.010965457223103223,0.022763262028685963,0.014070804249429069,0.013828170398561353,0.01075561204481978,0.018958396347427447,0.018818779204762343,0.010644381450466346,0.007522665803824723,0.024912081407954957,0.024614598384070638,0.010890087180795094,0.010148665966529018,0.027925424420894213,0.02839215144101001,0.01587908298735069,0.011219905245482753,0.013724605785082581,0.01371030981296773,0.017144519101490625,0.008759768087308746,0.019694084852335723,0.02787297998825142,0.014520197327591354,0.013477421425093911,0.00939251289524308,0.009613647098297129,0.02190466483139661,0.0357451983085582,0.02514082161927983,0.028558626275354358,0.010303534574400093,0.010064877524694045,0.009511025359257465,0.010307998385632962,0.027601705413660266,0.04099661834012958,0.021279807285456025,0.019587845880485833,0.009925474131063617,0.007930404358086287,0.002988530478245501,0.0031012820809417662,0.02642707042818872,0.018311561209010938,0.016778481033183076,0.00991911554721338,0.006864390106773542,0.01420071845780732,0.020910611288426795,0.011736583155859974,0.0189001159085244,0.022135986160539016,0.01651511047517314
8,ccs_before_dhy_20180820_close,1,0.004988863375456052,0.004267185736649683,0.012412042631584803,0.0024155460659676434,0.005419801520863537,0.011856840627366779,0.006381768792446411,0.0068084081586256605,0.00537334322921323,0.00500006519895573,0.006947994893103913,0.00774534245847458,0.04823652911713486,0.0320754603706547,0.005172126919045393,0.005733069726727841,0.014815487634281073,0.013153876874085979,0.01003689271894082,0.16593186090448728,0.017795349667577627,0.006235151661911269,0.009362555272084332,0.011423759143479584,0.012773315030224705,0.010318788124743461,0.00782114534385406,0.011750989153893025,0.010638516106196481,0.009902041984051911,0.006743768117849129,0.041864594295071084,0.012117424553005152,0.007229274828640744,0.012592045811767443,0.015396685313769583,0.008886830685578424,0.008337501690145632,0.00734302554326045,0.006578517204785684,0.012761945189832142,0.016598896637441882,0.007127021008877917,0.010281128794595801,0.006302150546539039,0.006246651199324964,0.008068645166287388,0.009709132307206242,0.008769515198928888,0.01446549454331473,0.0057414866632069335,0.006731934791671577,0.00684617282499587,0.007825187567004543,0.014429212469204207,0.013108929949851843,0.006292095284317836,0.025614906408972574,0.004207938684467959,0.00528009543679621,0.00366665031603906,0.01077343615238572,0.007263222536445649,0.007609361948897688,0.013056328095508787
9,njh_xln_20180525_close,1,0.07127025320276607,0.02187203610743816,0.04524894919289506,0.06201642423571367,0.06894785335699082,0.06812459187302099,0.019928171726074757,0.018624068173428265,0.013249457836383738,0.01668213998850865,0.09907302007805287,0.07613349199474466,0.10584144202906155,0.1844065413092734,0.032940993434366114,0.017323861846692937,0.026733805700238172,0.1178260370654454,0.01662794349815164,0.01431694868525155,0.027053942694916563,0.10024003157115016,0.027653454609304757,0.029225338529419765,0.07891659778811162,0.06951352375534635,0.042646477016243696,0.057430398671612023,0.05616307887906801,0.0653823504886185,0.03430086028799268,0.1076701126514348,0.04492007400370481,0.0619013150958452,0.11189702029799967,0.06853895077391506,0.017155784841560048,0.016728792583726487,0.04166409972413714,0.03029008585311016,0.0683310511746432,0.11990126726865945,0.03467158904100386,0.0320298611157105,0.01683664561847422,0.016542646411528205,0.04628800038587555,0.08119753564186245,0.07068845168122707,0.10759988335714196,0.02922946307505581,0.01859727225694363,0.07427146170336979,0.04190713268931689,0.07919098694277892,0.0602247377537815,0.03340923698702217,0.06701994517112121,0.010714591730274791,0.012612809569714797,0.026093898210661923,0.025617131537008144,0.01594747070136714,0.013337930605024806,0.05138658315752006
