,id,groupId,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz,Oz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,TP9,TP10,POz,ECG,F1,F2,C1,C2,P1,P2,AF3,AF4,FC3,FC4,CP3,CP4,PO3,PO4,F5,F6,C5,C6,P5,P6,AF7,AF8,FT7,FT8,TP7,TP8,PO7,PO8,FT9,FT10,FPz,CPz,average
0,jkdz_cyr_20180426_close,0,0.010095097178359075,0.054779872700101394,0.05443426877750592,0.19771325305061854,0.059418303361579425,0.16472294498379347,0.03267129302959278,0.020813721842239286,0.04824780837533801,0.04341735536373543,0.04191559117890593,0.17972301173607577,0.06048777555135198,0.14952597016539207,0.03039710408711039,0.0272781508585244,0.029021191672301456,0.038612481859164875,0.03486868082029509,0.0013546384989257339,0.06935486989895175,0.10112697604082066,0.03848748712035542,0.028787924159708843,0.043241666231806926,0.17853116086429685,0.03778143312171831,0.07109159477600634,0.07524437487410215,0.17782964246035296,0.04376440478821168,0.07755863530688178,0.05362547856020842,0.11555657793212055,0.04261417790367187,0.0747497388627327,0.03530635358209957,0.02601169852961336,0.04418711455090273,0.017934807214590964,0.05828177302088659,0.1921161534909606,0.04581271442454473,0.0481770129455783,0.0344034859149346,0.02902042507197821,0.0908875672042219,0.1932012642258019,0.05896502365577625,0.15551821723140585,0.028483487500036844,0.027908864061032688,0.06260548101214065,0.11283655469791191,0.08449127759335748,0.2084036055472928,0.029385100564707653,0.03549773138497079,0.024596021540273627,0.03287968284304794,0.011389492866947204,0.033488014267346176,0.03238810164576955,0.050688535621507935,0.06740172219066401
1,jkdz_xl_20180710_close,0,0.03024624958283766,0.03498801103979014,0.02216292459830811,0.01972011593458654,0.015050197495749682,0.012658415879525604,0.01949868302575794,0.011866277077266084,0.06287327075760794,0.04248510953456115,0.01933165548119834,0.023115678799710743,0.01193164534387111,0.011811642463703647,0.02081751899946574,0.008961829351910368,0.05990263114638361,0.09400528488596559,0.019008877854395027,0.0040657978359099605,0.019748952052986695,0.01987402886352133,0.02176546267399254,0.01494098075265723,0.014514947240519839,0.014651380814456303,0.014366045422156857,0.009112598207672885,0.01111958525373353,0.012093632613497078,0.017243229549477292,0.00972304984451263,0.010243659405279056,0.019517338055649126,0.021425605366585186,0.016245695821196206,0.01759541896384526,0.014841892789212083,0.023401513085394236,0.022182171073885884,0.021690657101087762,0.01950739745285836,0.0173958397379277,0.011173304024941282,0.026741202335110827,0.020591967995990997,0.02535975569140643,0.021716073654048814,0.01287710249156799,0.01110401236621322,0.019622822144040857,0.011327890863060871,0.039134137374549474,0.03874912014241164,0.011531590961763018,0.015096848689830633,0.013170463188725166,0.010387423576308397,0.026988367671531493,0.014321177098034927,0.05416281763006895,0.016954689167603246,0.020751066178782123,0.05596906776708833,0.021959903128807634
2,jkdz_zzp_20180513_close,0,0.019788490904977116,0.017468957584197597,0.021774607998439388,0.019652913132697954,0.018535560553477347,0.01407631465133591,0.020339428676332406,0.01740375134131272,0.03311030883713557,0.04084452007428857,0.015737369077127607,0.02288833620211297,0.014691695756943346,0.01362525393280897,0.026530250834796036,0.014859892299681763,0.02169325712488403,0.01971242670490751,0.05325655655106203,0.054800514446369075,0.032764537398397735,0.022649271008065974,0.01778272823116387,0.03667365363352488,0.019941317356196895,0.017228466023341615,0.017767243022963192,0.012839565547421055,0.013902806784382006,0.011807846641254201,0.01787161718771419,0.022925558662339387,0.020023412071309272,0.0193103726912567,0.018968519787999013,0.017816942161167547,0.031896791494229304,0.04051663431042082,0.01844376273971205,0.017193225158660532,0.022388534039068653,0.017934001175555225,0.017497630783520207,0.013871453205151374,0.03242305806254816,0.04081467263271237,0.021818371486144312,0.022026009938693046,0.016586653220069705,0.01353701952159246,0.02222069153516798,0.015021160653960046,0.018652267508592422,0.0141579879865324,0.016400572388648386,0.015159149893135541,0.017304380900400592,0.012983866763350836,0.05261399370780951,0.020040787844638537,0.017649208017228826,0.052724507609513305,0.05341649056530392,0.06439845372982596,0.02376180627758706
3,jkdz_cc_01_20180430_close,0,0.004609195089733936,0.006343556714640563,0.08621987850219047,0.10512201321666637,0.11190310277877705,0.1265757049889532,0.036798634974473714,0.028658965275258904,0.028346090785355257,0.02935774137857987,0.13644493562207244,0.1181677852630117,0.13755524332344915,0.07771803651064146,0.033568882730876895,0.04334068459854527,0.19838207415637615,0.08981579506845867,0.026585954053117332,0.001013417298574297,0.0298423031337905,0.19314790723635897,0.036369022399995725,0.0750742562008616,0.19786520789233827,0.13715964043334722,0.06381848529827328,0.0519507698636869,0.08672449779863638,0.08049147790819819,0.030436229691173718,0.06872968109939301,0.12047971179641775,0.10050112424907554,0.08327477489972508,0.1620134306342905,0.03535278932443457,0.026028399874705864,0.023068863431153438,0.03537393905435742,0.17645082100669224,0.12360394174490477,0.04840066940168256,0.05367940927402547,0.026597055555789572,0.02643204878482414,0.09891475821911981,0.12064600556632778,0.11384178043185919,0.12966664950225332,0.03506269512043176,0.02901402249021097,0.024447500439512708,0.022243146791148933,0.15080720959214405,0.1010968764352201,0.03868241854200183,0.047221909398900426,0.03084095095901487,0.029497364162642675,0.0025819574182600062,0.030989236043779032,0.026528134888274078,0.030801623275007437,0.07159809983740617
4,jkdz_gyt_20180430_close,0,0.015450144961524134,0.014994605497459528,0.013771780372020611,0.011884109079633703,0.007851608649776527,0.009106899968977563,0.009944710251775974,0.010044988555586233,0.061577384244401935,0.06198880777051297,0.01493948832063227,0.017717323055562634,0.025992178854947232,0.021614968236490333,0.0061054533529025035,0.006647749904240381,0.03663813653878963,0.14892813009481903,0.013501130203149648,0.04766278786464188,0.014047108964667963,0.012991084411421576,0.009056428353195289,0.008738240608886982,0.01109775257404152,0.01634080232970986,0.007004784361662381,0.007921572161302695,0.01413179844252903,0.020105650314166154,0.006178472374885422,0.04253004935331801,0.013946374584643345,0.012770453677094796,0.009919737352348515,0.009380939475803202,0.013265421085784199,0.011313303891180694,0.012605290459861116,0.011937165781477457,0.011885801093778405,0.012917201402912427,0.007835203696656027,0.008730236598770745,0.026288156481810085,0.020322223212187296,0.013671695801122862,0.01877834145402088,0.010828040613526433,0.011527494935476602,0.007814384038793304,0.009029525381867382,0.018064936965810963,0.01853355156812054,0.0195903691848576,0.02111921185680624,0.007246000943792953,0.00870816350579933,0.02248532362609506,0.021928841375256792,0.011915374893699822,0.009639308480407147,0.021209431259659496,0.041448577493080896,0.018799409565627097
5,jkdz_wqx_20180719_close,0,0.07620627101084011,0.1007094427514321,0.053037594598712386,0.059018887512961186,0.04005774427855076,0.059680318449703645,0.02298718376477922,0.03155626638750028,0.04103807480087759,0.08740626947996329,0.08903151421144799,0.08430407041145406,0.11151879319739211,0.1958949317006864,0.03594524980171792,0.07058309023874254,0.026801067885936673,0.023991094090013723,0.0225391503577941,0.007192206038464899,0.03858305419161198,0.055579834193995856,0.022406374609126065,0.02505696245215278,0.07900589232526598,0.0857233635426633,0.029339114507536353,0.05228847869652686,0.017771317899997523,0.08802171024917027,0.09144851873548014,0.11811027689360586,0.03626114110641721,0.03765592781824917,0.029912281282361456,0.030561060125204192,0.024477044118478338,0.025948752104140126,0.033937298930769993,0.03202622576559817,0.05108584776033679,0.07150046689817136,0.025571861773503613,0.03477500357009835,0.02631303222604874,0.036486117644069276,0.08033238933269721,0.0809291298544784,0.05125232163943179,0.14175203248206453,0.028298626310078928,0.04239207195858401,0.0841314542423303,0.07951618606570789,0.07040496997507598,0.11977593670992147,0.08150223987320321,0.13351201912584074,0.05990481477290312,0.07784282130732255,0.0719180787466215,0.06751621030644452,0.031334130719635714,0.05930544023690018,0.05939011021951239
6,jkdz_zy_20180502_close,0,0.01833463215497506,0.022593721440483397,0.02083149628375021,0.022795675719768347,0.006476555442922431,0.011843064954442454,0.0026609816567873066,0.0026513339235422735,0.002849304314352155,0.0025076404404150462,0.03351263072577157,0.017152799079023263,0.015058745289324573,0.03491385889915609,0.002976392357930182,0.0028623699322108368,0.01600802426768578,0.008579202864633987,0.0029432127210746177,0.0016482654241181667,0.001036514793336429,0.018562423265898017,0.003457565537081974,0.003673700031446692,0.020886411908112676,0.022933913252587784,0.004194283230524775,0.006577879179924629,0.01169609569342125,0.013606837688699398,0.00877896560816874,0.008272860405194928,0.020490721336839282,0.022482638684813396,0.00722991269335091,0.006691447717835075,0.0029378210342067028,0.0029615726642348798,0.01779140289083778,0.02362457411351116,0.018660530811553177,0.023466649310408854,0.0036365295138983352,0.004485707109401113,0.002874720601681948,0.002571317146569731,0.022471227346963583,0.024456227412648544,0.009513292954961223,0.022518225656266863,0.002877544886889083,0.0028522934041886375,0.027558952337921685,0.02235423658676256,0.022624845549417263,0.03258379403163758,0.00413157482927496,0.007114367931784124,0.0024263018832955873,0.002609862016804882,0.023512186236786442,0.004286964601087394,0.0026298730379744365,0.0024868970219923746,0.012059243310040072
7,jkdz_qjy_20180411_close,0,0.0007410711537237977,0.0005975826601919681,0.023930383249562554,0.01710912488951378,0.02727716967811808,0.04337853870557693,0.024985913953564264,0.03225830144701272,0.04251052592131281,0.05437457998918494,0.006629492806694242,0.014401743953426327,0.016109119342930613,0.08031482526667043,0.023990177359208695,0.029858152749393345,0.007734541111363711,0.041992976262813606,0.055017053498242985,0.0003599074876300664,0.014266482201333287,0.006195563505861054,0.023617549908701057,0.024751972007646374,0.022341159595903517,0.03366581104204586,0.017821996756723663,0.017508518288058265,0.011351125975319898,0.014994108949358771,0.00944455144922829,0.017714743144108282,0.008894865302548008,0.01701208760489182,0.021381275748703715,0.030560469096789503,0.029694715175622097,0.03405672112193604,0.01908129974381252,0.0006485468891007423,0.026833662199321963,0.03575668370600238,0.024181203395308045,0.017221275868789174,0.03028991630056974,0.048571362945125325,0.01979471927422419,0.01574894894026749,0.019136128076985687,0.046464669727462216,0.02511596266777977,0.03140827040704043,0.006138406804148183,0.00437955865201193,0.011695102702786014,0.041311717872185794,0.016585672939458364,0.017548330262461737,0.025497218455265175,0.02106939224672493,0.003362180230715376,0.05253238115861728,0.056125343427456495,0.05654604011273832,0.024560763958863665
8,jkdz_sd_20180417_close,0,0.017266927953562678,0.02152087948786486,0.0260967440693106,0.02890835463306734,0.015087206846124152,0.01740534079451904,0.009985291229548898,0.009855444577900965,0.011832005153955907,0.01158527775796158,0.03887499383193265,0.027710458085126538,0.015020317947594761,0.016403273226931844,0.011524091054411968,0.01059794655081139,0.021418642802573995,0.020579075574391367,0.01266071570826968,0.006689358874331696,0.003792903438593881,0.028589910537278003,0.014930907633142629,0.013190612663433764,0.016750651313525298,0.028179525572217635,0.013237635854061555,0.010872043364162186,0.017895799583473076,0.019332960472913652,0.013468600547894323,0.015412582729959132,0.019879736788215294,0.024165790704234656,0.010512275031225394,0.01829295011955084,0.012185540979346134,0.010876085016201086,0.020516115454280687,0.02532247448775036,0.019538184955313755,0.02352283751262512,0.019865478134209167,0.010930179427355406,0.011188432482316999,0.012170313738895428,0.023828173511659757,0.0339263710455242,0.015611045892324052,0.014740109372105908,0.009766216519923838,0.010075943328708113,0.02104186510937245,0.027385657941983915,0.020117320882959526,0.022964155321278656,0.011101000304217696,0.01168441004745597,0.011235570837780384,0.0101192226300706,0.01685623774853727,0.013761694485842742,0.011034842618152078,0.011136481993899968,0.01690670616084632
9,jkdz_wjf_20180530_close,0,0.042912939765741,0.037602151196112266,0.07462435544218742,0.05093153879935948,0.025205836245658975,0.017645165579383754,0.015723095742989565,0.007589243689645376,0.024551414023879004,0.009794186914326958,0.03910608412608909,0.024412416154987918,0.024557944499967836,0.013535924275036686,0.013021789556064351,0.0048563129880797515,0.06475308797297984,0.018374981244990065,0.013756734922291035,0.0005971011119333805,0.0010825258662975929,0.0328589272450344,0.015006262423870452,0.012839186906801532,0.04407301338453592,0.027649004167586037,0.01609303835663176,0.009497009640869887,0.032483471066889265,0.017122811776448494,0.01598082950922177,0.009580416099091032,0.072196352790107,0.06377737385416124,0.023621336374349922,0.01915857931102114,0.014373460841661717,0.010053089293992632,0.061757647827450295,0.047758057916133044,0.04850971428941609,0.03240108297915383,0.016383901227812015,0.011276503644582924,0.014343114686412712,0.008559430655220737,0.058201831574213644,0.038125862342430206,0.028392015246606922,0.016322175181247633,0.01380532084021614,0.0057648720385922395,0.04203991985877703,0.03743187235829291,0.03041297844320669,0.02050947031418321,0.006524270242546493,0.008038739669252153,0.01557881076345337,0.004615097417228529,0.2438791805800217,0.014330653446727926,0.012389919786941156,0.022986205067452047,0.028458400649341364
